product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7475198918739,fashion_lingerie,31,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
7478902620243,fashion_lingerie,32,0,1,150.0,25.0,15.0,5.0
6789832998995,fashion_lingerie,16,0,1,150.0,25.0,15.0,5.0
6789832998995,fashion_lingerie,16,0,1,150.0,25.0,15.0,5.0
6789832998995,fashion_lingerie,16,0,1,150.0,25.0,15.0,5.0
6789832998995,fashion_lingerie,16,0,1,150.0,25.0,15.0,5.0
6789832998995,fashion_lingerie,16,0,1,150.0,25.0,15.0,5.0
6789832998995,fashion_lingerie,16,0,1,150.0,25.0,15.0,5.0
6789832998995,fashion_lingerie,16,0,1,150.0,25.0,15.0,5.0
