"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item"
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","34AA","Color","Buff","Style","Buff","ZGW01BU34AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404909",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","34AA","Color","Buff","Style","Buff","BRA035BU34AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420121",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","34A","Color","Buff","Style","Buff","ZGW01BU34A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404893",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","34A","Color","Buff","Style","Buff","BRA035BU34A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420114",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","34B","Color","Buff","Style","Buff","ZGW01BU34B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404916",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","34B","Color","Buff","Style","Buff","BRA035BU34B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420138",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","36AA","Color","Buff","Style","Buff","ZGW01BU36AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404930",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","36AA","Color","Buff","Style","Buff","BRA035BU36AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420152",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","36A","Color","Buff","Style","Buff","ZGW01BU36A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404923",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","36A","Color","Buff","Style","Buff","BRA035BU36A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420145",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","36B","Color","Buff","Style","Buff","ZGW01BU36B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404947",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","36B","Color","Buff","Style","Buff","BRA035BU36B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420169",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","38AA","Color","Buff","Style","Buff","ZGW01BU38AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404961",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","38AA","Color","Buff","Style","Buff","BRA035BU38AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420183",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","38A","Color","Buff","Style","Buff","ZGW01BU38A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404954",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","38A","Color","Buff","Style","Buff","BRA035BU38A",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420176",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","38B","Color","Buff","Style","Buff","ZGW01BU38B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404978",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","38B","Color","Buff","Style","Buff","BRA035BU38B",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376420190",,,,,,"lb","PC040152",
"zero-g-wirefree-lift-up-bra-buff",,,,,,,"Size","40AA","Color","Buff","Style","Buff","ZGW01BU40AA",91,"shopify",,"deny","manual","65.00","0.00",,true,"840376404992",,,,,,"lb","PC040152",
